epoch,accuracy,loss,val_accuracy,val_loss
0,0.5364498496055603,1.2982580661773682,0.5519373416900635,1.248244285583496
1,0.5627453327178955,1.2277235984802246,0.5610744953155518,1.230711579322815
2,0.5707244873046875,1.2045952081680298,0.5618988871574402,1.222314715385437
3,0.5760735273361206,1.1909382343292236,0.5629293918609619,1.2231922149658203
4,0.5794551968574524,1.1814707517623901,0.5667079091072083,1.220245361328125
5,0.5821331739425659,1.1742620468139648,0.5617614984512329,1.2253676652908325
6,0.5839235782623291,1.1685998439788818,0.5632041692733765,1.2216269969940186
7,0.5856376886367798,1.1637684106826782,0.5667765736579895,1.2255185842514038
8,0.5870283842086792,1.1600531339645386,0.5640972852706909,1.223068356513977
9,0.5885453820228577,1.156880259513855,0.5642346739768982,1.2273311614990234
